mmsi,name,year,gaps,flags,either_endpoint_inside_eez
412326887,TAI XING  1,2017,4,CHN,0
412326887,TAI XING  1,2018,12,CHN,0
412326887,TAI XING  1,2019,5,CHN,0
412326887,TAI XING  1,2020,12,CHN,0
416246900,SHUENN MAN NO.273,2017,4,TWN,0
416246900,SHUENN MAN NO.273,2018,1,TWN,0
416246900,SHUENN MAN NO.273,2019,4,TWN,0
441559000,21.HAE IN,2017,4,KOR,0
412329684,LU QING YUAN YU 201,2017,17,CHN,0
412329684,LU QING YUAN YU 201,2018,58,CHN,0
412329684,LU QING YUAN YU 201,2019,115,CHN,0
412329684,LU QING YUAN YU 201,2020,22,CHN,0
740337000,BEAGLE FI,2017,5,FLK,0
740337000,BEAGLE FI,2018,2,FLK,0
740337000,BEAGLE FI,2019,8,FLK,0
740337000,BEAGLE FI,2020,1,FLK,0
740337000,BEAGLE FI,2021,3,FLK,0
740337000,BEAGLE FI,2022,1,FLK,0
224378000,PARADANTA PRIMERO,2017,15,ESP,0
224378000,PARADANTA PRIMERO,2018,13,ESP,0
224378000,PARADANTA PRIMERO,2019,9,ESP,0
224378000,PARADANTA PRIMERO,2020,13,ESP,0
224378000,PARADANTA PRIMERO,2021,17,ESP,1
224378000,PARADANTA PRIMERO,2022,2,ESP,0
740335000,CAPRICORN,2017,5,FLK,0
740335000,CAPRICORN,2019,11,FLK,0
740335000,CAPRICORN,2020,2,FLK,0
740335000,CAPRICORN,2021,2,FLK,0
412440155,FUYUANYU879,2017,1,CHN,0
412440155,FUYUANYU879,2018,3,CHN,0
412440155,FUYUANYU879,2019,1,CHN,0
416243800,JAI FA NO.2,2017,9,TWN,0
416243800,JAI FA NO.2,2018,1,TWN,0
416243800,JAI FA NO.2,2019,1,TWN,0
412328762,LU RONG YUAN YU 779,2017,18,CHN,0
412328762,LU RONG YUAN YU 779,2018,14,CHN,0
412328762,LU RONG YUAN YU 779,2019,9,CHN,0
412328762,LU RONG YUAN YU 779,2020,16,CHN,0
